Batch Size,Test Accuracy,Test F1,Test Precision,Test Recall,Test Loss,Training Time (min)
4,0.391304347826087,0.22010869565217392,0.15311909262759926,0.391304347826087,1.1036818027496338,18.01656189362208
8,0.6887508626639062,0.6876174522617454,0.6873512611027397,0.6887508626639062,1.3850969076156616,24.9455326517423
16,0.3195307108350587,0.154751798239155,0.10209987516675788,0.3195307108350587,1.0996609926223755,8.151079344749451
